ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-07-24,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.27944,0.34666,full_february,DAY_OF_WEEK
2020-07-25,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.26211,0.33024,full_february,DAY_OF_WEEK
2020-07-26,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.34014,0.38233,full_february,DAY_OF_WEEK
2020-07-27,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.27728,0.29775,full_february,DAY_OF_WEEK
2020-07-28,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29296,0.32453,full_february,DAY_OF_WEEK
2020-07-29,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29135,0.3335,full_february,DAY_OF_WEEK
2020-07-30,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.27398,0.33669,full_february,DAY_OF_WEEK
2020-07-31,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.24169,0.29414,full_february,DAY_OF_WEEK
2020-08-01,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.24601,0.31124,full_february,DAY_OF_WEEK
2020-08-02,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30437,0.35107,full_february,DAY_OF_WEEK
2020-08-03,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.23627,0.28653,full_february,DAY_OF_WEEK
2020-08-04,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.26344,0.29289,full_february,DAY_OF_WEEK
2020-08-05,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.32046,0.32686,full_february,DAY_OF_WEEK
2020-08-06,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.39699,0.3564,full_february,DAY_OF_WEEK
2020-08-07,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.3104,0.32796,full_february,DAY_OF_WEEK
2020-08-08,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.30241,0.32815,full_february,DAY_OF_WEEK
2020-08-09,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.29094,0.35667,full_february,DAY_OF_WEEK
2020-08-10,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.22549,0.31669,full_february,DAY_OF_WEEK
2020-08-11,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.18557,0.3216,full_february,DAY_OF_WEEK
2020-08-12,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.24801,0.30408,full_february,DAY_OF_WEEK
2020-08-13,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.2221,0.3082,full_february,DAY_OF_WEEK
2020-08-14,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.22492,0.32698,full_february,DAY_OF_WEEK
2020-08-15,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.226,0.31603,full_february,DAY_OF_WEEK
2020-08-16,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.28782,0.34961,full_february,DAY_OF_WEEK
2020-08-17,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.22657,0.30182,full_february,DAY_OF_WEEK
2020-08-18,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.23149,0.30338,full_february,DAY_OF_WEEK
2020-08-19,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.23347,0.30255,full_february,DAY_OF_WEEK
2020-08-20,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.26516,0.32936,full_february,DAY_OF_WEEK
2020-08-21,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.23596,0.30557,full_february,DAY_OF_WEEK
2020-08-22,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.21746,0.30684,full_february,DAY_OF_WEEK
2020-08-23,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.26811,0.33709,full_february,DAY_OF_WEEK
2020-08-24,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.19663,0.28199,full_february,DAY_OF_WEEK
2020-08-25,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.21218,0.29331,full_february,DAY_OF_WEEK
2020-08-26,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.20503,0.28292,full_february,DAY_OF_WEEK
2020-08-27,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.24232,0.32097,full_february,DAY_OF_WEEK
2020-08-28,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.18137,0.27524,full_february,DAY_OF_WEEK
2020-08-29,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.19008,0.28555,full_february,DAY_OF_WEEK
2020-08-30,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.22698,0.28901,full_february,DAY_OF_WEEK
2020-08-31,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.13755,0.26205,full_february,DAY_OF_WEEK
2020-09-01,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.13386,0.27203,full_february,DAY_OF_WEEK
2020-09-02,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.15576,0.27286,full_february,DAY_OF_WEEK
2020-09-03,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.20931,0.30813,full_february,DAY_OF_WEEK
2020-09-04,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.21299,0.28032,full_february,DAY_OF_WEEK
2020-09-05,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.17482,0.2789,full_february,DAY_OF_WEEK
2020-09-06,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.22957,0.31977,full_february,DAY_OF_WEEK
2020-09-07,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.16352,0.27481,full_february,DAY_OF_WEEK
2020-09-08,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.20826,0.26802,full_february,DAY_OF_WEEK
2020-09-09,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.21452,0.29742,full_february,DAY_OF_WEEK
2020-09-10,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.21209,0.30021,full_february,DAY_OF_WEEK
2020-09-11,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.24202,0.26954,full_february,DAY_OF_WEEK
2020-09-12,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.21082,0.28095,full_february,DAY_OF_WEEK
2020-09-13,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.25417,0.30305,full_february,DAY_OF_WEEK
2020-09-14,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.16941,0.26037,full_february,DAY_OF_WEEK
2020-09-15,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.31457,0.30739,full_february,DAY_OF_WEEK
2020-09-16,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.12479,0.27617,full_february,DAY_OF_WEEK
2020-09-17,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.20234,0.29092,full_february,DAY_OF_WEEK
2020-09-18,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.16332,0.27941,full_february,DAY_OF_WEEK
2020-09-19,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.16488,0.27774,full_february,DAY_OF_WEEK
2020-09-20,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.21373,0.31117,full_february,DAY_OF_WEEK
2020-09-21,SLV,GADM,SLV.1.1_1,Ahuachapán,-0.17294,0.27656,full_february,DAY_OF_WEEK
