GID_0,GID_1,GID_2,rwi_weight,pop2020,download_kbps_fixed,upload_kbps_fixed,download_mbps_fixed,upload_mbps_fixed,latency_fixed,tests_unique_dev_fixed,tests_fixed,hdi,life_expectancy,literacy_rate,gdp_per_capita,life_expectancy_index,literacy_index,education_index,gdp_index,pop60plus,pop60plus_ratio
SLV,SLV.3_1,SLV.3.19_1,0.0298122972627436,3761.0796008017664,-1,-1,-1,-1,-1,-1,-1,0.623,66.3,66.6,2638.4,0.688,0.666,0.635,0.546,383.7924129999999,0.1020431508331238
SLV,SLV.3_1,SLV.3.20_1,0.2862110488671787,1559.3938521040018,-1,-1,-1,-1,-1,-1,-1,0.68,69.1,81.4,2876.2,0.734,0.814,0.746,0.561,239.143196,0.1533565081568954
SLV,SLV.3_1,SLV.3.21_1,-0.214725634654012,3257.960697334707,-1,-1,-1,-1,-1,-1,-1,0.629,64.7,66.3,3120.9,0.662,0.663,0.651,0.574,305.771157,0.093853543798164
SLV,SLV.3_1,SLV.3.22_1,0.415,2318.71644789124,-1,-1,-1,-1,-1,-1,-1,0.686,70.2,76.4,2947.0,0.754,0.764,0.739,0.565,256.101882,0.1104498491969176
SLV,SLV.3_1,SLV.3.23_1,-0.3156714995848755,3410.7965487052115,-1,-1,-1,-1,-1,-1,-1,0.632,66.15,72.65,2344.05,0.686,0.7265,0.683,0.5265,268.0771180000001,0.0785966310719313
SLV,SLV.3_1,SLV.3.24_1,0.251,747.4911721281916,-1,-1,-1,-1,-1,-1,-1,0.736,68.8,83.8,5367.7,0.731,0.838,0.812,0.665,135.964804,0.181894862534487
SLV,SLV.3_1,SLV.3.25_1,-0.2463270084435012,6372.217664970423,-1,-1,-1,-1,-1,-1,-1,0.628,66.2,72.1,2431.8,0.687,0.721,0.664,0.533,528.3739800000001,0.082918382230506
SLV,SLV.3_1,SLV.3.26_1,0.4838428093645482,9373.750737760693,-1,-1,-1,-1,-1,-1,-1,0.678,66.9,73.1,5661.4,0.698,0.731,0.662,0.674,716.5192990000003,0.0764389110661556
SLV,SLV.3_1,SLV.3.27_1,-0.2062291945232239,24136.650153794923,-1,-1,-1,-1,-1,-1,-1,0.641,66.6,72.5,2459.9,0.693,0.725,0.695,0.535,854.1044909999999,0.0353862066839342
SLV,SLV.3_1,SLV.3.28_1,0.1477987122424708,1660.971874116536,-1,-1,-1,-1,-1,-1,-1,0.626,67.3,68.4,2163.9,0.705,0.684,0.66,0.513,146.71902300000002,0.0883332374776299
SLV,SLV.3_1,SLV.3.29_1,0.3258622682348279,11216.893230204349,-1,-1,-1,-1,-1,-1,-1,0.66,66.6,76.0,2939.1,0.693,0.76,0.723,0.564,535.9676419999998,0.047782182731023
SLV,SLV.3_1,SLV.3.30_1,0.501,762.263579250638,-1,-1,-1,-1,-1,-1,-1,0.696,66.4,85.7,3614.3,0.689,0.857,0.8,0.599,159.57686599999994,0.2093460455724198
SLV,SLV.3_1,SLV.3.31_1,0.015909649981481,1868.929981141725,-1,-1,-1,-1,-1,-1,-1,0.717,67.7,82.1,5112.3,0.712,0.821,0.781,0.657,244.3326249999999,0.1307339640678981
SLV,SLV.3_1,SLV.3.32_1,0.3329968991509871,4357.759239776667,-1,-1,-1,-1,-1,-1,-1,0.712,67.3,80.0,6584.4,0.705,0.8,0.732,0.699,589.840912,0.1353541762050693
